Titular Argentina,Link Argentina,Titular Extranjero,Link Extranjero
Asume el martes.Santilli llega a la Jefatura de Gabinete con poderes amplios y retiene Interior para negociar con los gobernadoresEl forzado reemplazo de Adorni disparó cambios en la estructura del Gobierno; se disuelve la cartera política y el área quedará a cargo del ministro coordinador; Devitt será vicejefe de Gabinete y Coria secretario de InteriorPolíticaPorJaime Rosemberg,https://www.lanacion.com.ar/politica/santilli-llega-a-la-jefatura-de-gabinete-con-poderes-amplios-y-retiene-interior-para-negociar-con-nid28062026/,British Broadcasting Corporation,https://www.bbc.com/
"VIDEO""Sigo confiando en su inocencia"".Milei defendió a Adorni tras la renuncia y explicó cómo designó a su sucesor",https://www.lanacion.com.ar/politica/javier-milei-sigo-confiando-en-la-inocencia-de-adorni-nid28062026/,"LIVEMore search teams arrive in Venezuela but hopes fade of finding earthquake survivorsAt least 1,450 people are known to have been killed by the back-to-back earthquakes on Wednesday evening.",https://www.bbc.com/news/live/cz9l490v5ldt
Críticas veladas a Macri.Bullrich dijo que una moción de censura contra Adorni hubiera dado la vuelta al mundo,https://www.lanacion.com.ar/lnmas/patricia-bullrich-la-salida-de-adorni-genera-una-nueva-respiracion-para-el-gobierno-nid28062026/,"Anger directed at Venezuela's official response to earthquake recoveryResidents in quake-affected areas have expressed anger over the state's efforts to locate survivors and help victims, the BBC's Orla Guerin reports.4 hrs agoLatin America",https://www.bbc.com/news/videos/cj4glezz1jvo
"Caso $LIBRA.El fideicomiso fantasma que oculta el destino de US$110 millones, mientras las pymes siguen esperandoPorHugo Alconada Mon",https://www.lanacion.com.ar/politica/caso-libra-el-fideicomiso-fantasma-que-oculta-el-destino-de-us110-millones-mientras-las-pymes-siguen-nid29062026/,South Korea football coach quits as president calls for probe into World Cup lossSouth Korea was eliminated after missing out on a spot among the eight best third-placed teams.4 hrs agoAsia,https://www.bbc.com/news/articles/cdx7jk0kq4vo
Análisis.Cambio de nombres y estilos para sostener el modeloPorClaudio Jacquelin,https://www.lanacion.com.ar/politica/cambio-de-nombres-y-estilos-para-sostener-el-modelo-nid28062026/,"Princess of Wales climbs three UK peaks to 'explore life beyond' cancer diagnosisCatherine did the endurance event to raise awareness about ""holistic healthcare"" for cancer patients.4 hrs agoCumbria",https://www.bbc.com/news/articles/cwydwgy7125o
"Mundial 2026.Las cifras que dejó la fase de grupos: goles, récord de público y las marcas de Messi",https://www.lanacion.com.ar/deportes/futbol/las-cifras-que-dejo-la-fase-de-grupos-del-mundial-2026-goles-record-de-publico-y-las-marcas-de-messi-nid29062026/,"Pakistani strikes kill dozens in AfghanistanThe Taliban government says civilians were killed, while Pakistan maintains they targeted militants.2 hrs agoAsia",https://www.bbc.com/news/articles/cy8wygyed0wo
videoRetroceso en Austria.El Alpine traiciona a Colapinto en la largada y Briatore da un puñetazo sobre la mesaPorOrlando Ríos,https://www.lanacion.com.ar/deportes/automovilismo/el-alpine-traiciona-a-colapinto-en-la-largada-de-puntuar-en-barcelona-a-complicarse-en-austria-nid28062026/,"How population decline is exposing Germany's old dividesDecades after the fall of the Berlin Wall, a population slump in the east lays bare the existing divisions2 hrs agoBBC InDepth",https://www.bbc.com/news/articles/c24ylyv40y5o
"A FondoLa razón de la Copa.A 40 años de México 86: una historia gráfica sobre la disciplina, la brillantez y la locuraPorDiana Agustina Fernández",https://www.lanacion.com.ar/deportes/a-40-anos-de-mexico-86-una-historia-grafica-sobre-la-disciplina-la-brillantez-y-la-locura-nid29062026/,"First dinosaur bone from Antarctica found in a drawerThe fossil, collected in Antarctica in 1985, is part of the tail of a beast called a Titanosaur.2 hrs agoScience & Environment",https://www.bbc.com/news/articles/cdep67jnn9zo
"Solo en Off.Mientras entroniza a Diego Santilli, Javier Milei vivirá su “semana brasileña”PorJaime Rosemberg",https://www.lanacion.com.ar/politica/solo-en-off-mientras-entroniza-a-diego-santilli-javier-milei-vivira-su-semana-brasilena-nid29062026/,"US says it has agreed with Iran to 'stand down' after trading strikes, reports say",https://www.bbc.com/news/articles/c872rjw17qpo
A través de Cancillería.El Gobierno confirmó la muerte de seis argentinos en los terremotos de Venezuela,https://www.lanacion.com.ar/sociedad/el-gobierno-busca-a-tres-argentinos-desaparecidos-durante-los-terremotos-en-venezuela-nid28062026/,"Europe's heatwave linked to 1,300 deaths, WHO says",https://www.bbc.com/news/articles/cn4d2vv935lo
"El Mundial desde Colonia Caroya.Tiene 105 años, vive en Córdoba y así vibró con Argentina-Jordania",https://www.lanacion.com.ar/deportes/tiene-105-anos-vive-en-cordoba-y-asi-vibro-con-argentina-jordania-nid28062026/,Eleven killed after plane carrying skydivers crashes in eastern France,https://www.bbc.com/news/articles/c5yz9yj9x74o
"LA NACION EN KANSAS CITY""Lo disfruto como un niño"".El 9 que vive a la sombra de Messi, con datos clave que resaltan su participación con la selecciónDebieron pasar diez partidos para que el capitán de Inter pudiera convertir en el torneo, más allá del penal que convirtió en la definición frente a Países Bajos, en los cuartos de final de 2022PorLeandro Contento, enviado especial",https://www.lanacion.com.ar/deportes/futbol/lautaro-martinez-el-goleador-que-vive-a-la-sombra-de-messi-y-hace-mucho-mas-que-goles-nid28062026/,Three firefighters die battling huge wildfires on Colorado-Utah border,https://www.bbc.com/news/articles/cp8l7mpmdggo
"VIDEO""Un francotirador"".La respuesta de Alfaro a Chilavert en la previa de Paraguay vs. Alemania: ""¿Por qué Messi es grande?""",https://www.lanacion.com.ar/deportes/futbol/mundial-2026-gustavo-alfaro-le-contesto-a-chilavert-en-la-previa-de-paraguay-vs-alemania-nid28062026/,Australian man charged with murder after dead girl found in suitcase in Thailand,https://www.bbc.com/news/articles/cd0my5zy821o
